Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
2907,178275,10683/14558,Clarinet,Clarinets,Wind,1801,1835,1,France,Unknown,0,34
2908,178276,10683/14558,Alto clarinet,Clarinets,Wind,1901,2000,1,France,Paris,0,99
2909,178277,10683/14558,Clarinet,Clarinets,Wind,1795,1805,1,Unknown,Unknown,1,10
2910,178278,10683/14558,Clarinet,Clarinets,Wind,1805,1815,1,Unknown,Unknown,1,10
2911,178279,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,Unknown,Unknown,1,10
2912,178280,10683/14558,Clarinet,Clarinets,Wind,1895,1930,1,Unknown,Unknown,1,35
2913,178281,10683/14558,Clarinet,Clarinets,Wind,1825,1835,1,Austria,Vienna,0,10
2914,178282,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,Unknown,Unknown,1,10
2915,178283,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,Austria,Vienna,0,10
2916,178284,10683/14558,Clarinet,Clarinets,Wind,1805,1815,1,Austria,Vienna,0,10
2917,178285,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,Austria,Vienna,0,10
2918,178286,10683/14558,Clarinet,Clarinets,Wind,1825,1835,1,Austria,Vienna,0,10
2919,178287,10683/14558,Clarinet,Clarinets,Wind,1825,1835,1,Austria,Vienna,0,10
2920,178288,10683/14558,Clarinet,Clarinets,Wind,1820,1830,1,Austria,Vienna,0,10
2921,178292,10683/14558,Clarinet,Clarinets,Wind,1845,1855,1,Austria,Vienna,0,10
2922,178293,10683/14558,Clarinet,Clarinets,Wind,1835,1845,1,Austria,Vienna,0,10
2923,178294,10683/14558,Clarinet,Clarinets,Wind,1850,1860,1,Unknown,Unknown,1,10
2924,178295,10683/14558,Clarinet,Clarinets,Wind,1845,1855,1,Austria,Vienna,0,10
