Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty
4198,180376,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,1980,1,Unknown,Unknown,1
4199,180380,10683/14558,Bassoon,Bassoons,Wind,1855,1980,1,Unknown,Unknown,1
4200,180382,10683/14558,Bassoon,Bassoons,Wind,1845,1980,1,England,London,0
4201,180387,10683/14558,Bassoon,Bassoons,Wind,1825,1980,1,Austria,Vienna,0
4202,180393,10683/14558,Tenoroon,Bassoons,Wind,1840,1980,1,France,Paris,0
4203,180397,10683/14558,Double bassoon,Bassoons,Wind,1915,1981,1,France,Paris,0
4204,180404,10683/14558,Bassoon,Bassoons,Wind,1890,1982,1,England,London,0
4205,180405,10683/14558,Bassoon,Bassoons,Wind,0,1983,1,England,London,0
4206,180407,10683/14558,Bassoon,Bassoons,Wind,1921,1985,1,France,Paris,0
4207,180408,10683/14558,Bassoon,Bassoons,Wind,1895,1985,1,England,London,0
4208,180409,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0
4209,180410,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,1982,1,England,London,0
4210,180411,10683/14558,Transverse flute,Flutes,Wind,1866,1985,1,Unknown,Unknown,2
4211,180414,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,1986,1,England,Unknown,0
4212,180415,10683/14558,Epinette des Vosges,Zithers,Strings,1795,1986,1,Unknown,Unknown,0
4213,180416,10683/14558,Zither,Zithers,Strings,1842,0,1,Germany,Munich,0
4214,180417,10683/14558,Chromatic harp,Harps,Strings,0,0,2,England,London,0
4215,180418,10683/14558,Flageolet,Flutes,Wind,1970,0,1,Yugoslavia,Unknown,0
4216,180419,10683/14558,Transverse flute,Flutes,Wind,1802,0,1,England,London,0
4217,180421,10683/14558,Tenor saxophone,Saxophones,Wind,1925,1985,1,France,Paris,0
4218,180422,10683/14558,Soprano saxophone,Saxophones,Wind,1940,0,1,France,Paris,0
4219,180423,10683/14558,Alto saxophone,Saxophones,Wind,1901,1985,1,France,Paris,0
